model_name,strata,variable,year,pred,pred_lci,pred_uci,obs,obs_cv,obs_lci,obs_uci
M22_2024,AI,biomass_pred,1991,25220.284549848526,16379.573898423354,38832.6800635854,21835.916091,0.6916090445406614,6411.763769214491,74364.44146968416
M22_2024,AI,biomass_pred,1992,25292.79410237199,16842.67405584908,37982.41486973509,NA,NA,NA,NA
M22_2024,AI,biomass_pred,1993,25365.512123408,17367.26240805292,37047.24384105694,NA,NA,NA,NA
M22_2024,AI,biomass_pred,1994,25438.439212313817,17970.249339447102,36010.30666492105,26284.528105,0.2198934937318627,17168.474720707305,40240.98989232005
M22_2024,AI,biomass_pred,1995,25374.2692327161,17662.650743160553,36452.826274882886,NA,NA,NA,NA
M22_2024,AI,biomass_pred,1996,25310.2611257178,17453.451496025395,36703.87592952059,NA,NA,NA,NA
M22_2024,AI,biomass_pred,1997,25246.41448298572,17332.304698359647,36774.18873827171,36058.309388,0.2694318869211614,21462.020878025804,60581.51202582971
M22_2024,AI,biomass_pred,1998,24204.602542879104,16959.10009404502,34545.6292497777,NA,NA,NA,NA
M22_2024,AI,biomass_pred,1999,23205.781741941184,16656.051773526433,32331.089839101613,NA,NA,NA,NA
M22_2024,AI,biomass_pred,2000,22248.178019061826,16434.293756610557,30118.813287535624,37151.720484,0.4460834730356795,16119.93006800729,85623.84136272433
M22_2024,AI,biomass_pred,2001,20865.836919155066,15921.296383205463,27345.961023377302,NA,NA,NA,NA
M22_2024,AI,biomass_pred,2002,19569.38451156527,15163.307979171863,25255.756243131178,15342.16287,0.20097239426534763,10387.454592121294,22660.215690198005
M22_2024,AI,biomass_pred,2003,19253.428452610577,14752.817062204267,25127.032052033577,NA,NA,NA,NA
M22_2024,AI,biomass_pred,2004,18942.573638977654,14521.570776893874,24709.523617034076,32611.630254,0.3743294415319643,16037.24308690969,66315.53952634774
M22_2024,AI,biomass_pred,2005,18045.01009045647,13540.117152161576,24048.712836483308,NA,NA,NA,NA
M22_2024,AI,biomass_pred,2006,17189.97615480565,12588.788164745745,23472.893207489673,11780.530781,0.25220960641438217,7240.770510545803,19166.593566245687
M22_2024,AI,biomass_pred,2007,17175.920426940418,12584.201832335088,23443.06348890206,NA,NA,NA,NA
M22_2024,AI,biomass_pred,2008,17161.87619202221,12666.872988076038,23251.989240561154,NA,NA,NA,NA
M22_2024,AI,biomass_pred,2009,17147.84344065365,12845.30925501876,22891.510731848008,NA,NA,NA,NA
M22_2024,AI,biomass_pred,2010,17133.822163444922,13139.858433190311,22341.782708025665,18223.873086,0.23364491436240117,11598.412326414416,28634.052739984378
M22_2024,AI,biomass_pred,2011,16965.78285420536,12889.653869105596,22330.91677860714,NA,NA,NA,NA
M22_2024,AI,biomass_pred,2012,16799.391584100315,12790.814211001536,22064.23711112933,15667.717011,0.2636668903219587,9426.107169126517,26042.283620622824
M22_2024,AI,biomass_pred,2013,16769.613451924724,12598.256396247101,22322.131450725778,NA,NA,NA,NA
M22_2024,AI,biomass_pred,2014,16739.888103634246,12531.397218728105,22361.740580962694,16400.506652,0.37717952611848754,8024.4719007733665,33519.54144376442
M22_2024,AI,biomass_pred,2015,16730.26849999516,12389.545385812871,22591.78003435403,NA,NA,NA,NA
M22_2024,AI,biomass_pred,2016,16720.654424276785,12351.824811153228,22634.73524362461,15024.870236,0.3158249215433078,8210.019170294112,27496.49189924509
M22_2024,AI,biomass_pred,2017,16858.077566443553,12235.899272939818,23226.30914956415,NA,NA,NA,NA
M22_2024,AI,biomass_pred,2018,16996.630157226642,12180.162951073064,23717.698840481895,26319.557972,0.5550339790600006,9531.754376931358,72674.88276009077
M22_2024,AI,biomass_pred,2019,16920.359253243743,11923.777074061012,24010.727094323585,NA,NA,NA,NA
M22_2024,AI,biomass_pred,2020,16844.430608328705,11733.024415718975,24182.583489613768,NA,NA,NA,NA
M22_2024,AI,biomass_pred,2021,16768.842686623666,11599.2456580954,24242.445874269397,NA,NA,NA,NA
M22_2024,AI,biomass_pred,2022,16693.59395916271,11517.523789272189,24195.8327477441,19505.161328,0.355814890606018,9914.237946477235,38374.237181435594
M22_2024,AI,biomass_pred,2023,16450.531542591692,11070.738406037715,24444.619510313296,NA,NA,NA,NA
M22_2024,AI,biomass_pred,2024,16211.008168511698,10658.142855227075,24656.902183542185,11878.126827,0.423744716271497,5355.998081597057,26342.40990546185
M22_2024,EBS Slope,biomass_pred,1991,4485.299380769581,3261.488200623894,6168.322341710023,NA,NA,NA,NA
M22_2024,EBS Slope,biomass_pred,1992,4485.299374977286,3277.6065011588576,6137.988338764454,NA,NA,NA,NA
M22_2024,EBS Slope,biomass_pred,1993,4485.299369184991,3294.0637639648644,6107.322709198735,NA,NA,NA,NA
M22_2024,EBS Slope,biomass_pred,1994,4485.299363392695,3310.8771884316316,6076.308251343147,NA,NA,NA,NA
M22_2024,EBS Slope,biomass_pred,1995,4485.299357600401,3328.0654507878417,6044.926286689501,NA,NA,NA,NA
M22_2024,EBS Slope,biomass_pred,1996,4485.299351808106,3345.6488872714326,6013.156476720877,NA,NA,NA,NA
M22_2024,EBS Slope,biomass_pred,1997,4485.29934601581,3363.649707546725,5980.976609494463,NA,NA,NA,NA
M22_2024,EBS Slope,biomass_pred,1998,4496.246995987594,3402.971623776075,5940.759807598605,NA,NA,NA,NA
M22_2024,EBS Slope,biomass_pred,1999,4507.2213668158165,3424.1729941174412,5932.832390297241,NA,NA,NA,NA
M22_2024,EBS Slope,biomass_pred,2000,4506.289143079665,3442.5383938735986,5898.7408469214815,NA,NA,NA,NA
M22_2024,EBS Slope,biomass_pred,2001,4505.357112154345,3461.3726045858925,5864.217761805551,NA,NA,NA,NA
M22_2024,EBS Slope,biomass_pred,2002,4498.157809414489,3474.700641890292,5823.0696004330475,4876.942736,0.43379340746196465,2161.220746091004,11005.155532234372
M22_2024,EBS Slope,biomass_pred,2003,4489.261481566546,3466.90162070339,5813.106587601462,NA,NA,NA,NA
M22_2024,EBS Slope,biomass_pred,2004,4453.424372855315,3256.0142951153894,6091.185986036617,2621.322918,0.2169582422988122,1721.729125130009,3990.9494125059714
M22_2024,EBS Slope,biomass_pred,2005,4459.374436483366,3290.180546062752,6044.051408837811,NA,NA,NA,NA
M22_2024,EBS Slope,biomass_pred,2006,4469.804091770544,3353.1276390936764,5958.362093310859,NA,NA,NA,NA
M22_2024,EBS Slope,biomass_pred,2007,4480.258140100063,3410.447784378817,5885.65322532535,NA,NA,NA,NA
M22_2024,EBS Slope,biomass_pred,2008,4487.185603910524,3439.6382054024866,5853.76526296195,7308.119245,0.3146199979735285,4002.160813420757,13344.942741940838
M22_2024,EBS Slope,biomass_pred,2009,4475.317842717899,3340.658571928629,5995.365692755112,NA,NA,NA,NA
M22_2024,EBS Slope,biomass_pred,2010,4502.468848548724,3481.359051860452,5823.078122699844,4370.413961,0.28125364310190376,2544.8418722044594,7505.581544820313
M22_2024,EBS Slope,biomass_pred,2011,4531.222074056209,3522.904231611738,5828.138414940909,NA,NA,NA,NA
M22_2024,EBS Slope,biomass_pred,2012,4554.686461819919,3476.583812525062,5967.113086918024,9302.529025,0.5675599138981376,3302.1699731260405,26206.115059257856
M22_2024,EBS Slope,biomass_pred,2013,4568.781179754068,3427.8462780846335,6089.468364415261,NA,NA,NA,NA
M22_2024,EBS Slope,biomass_pred,2014,4605.026959182118,3218.1989701625403,6589.484830306515,NA,NA,NA,NA
M22_2024,EBS Slope,biomass_pred,2015,4641.560289375823,2962.551581102674,7272.137321535437,NA,NA,NA,NA
M22_2024,EBS Slope,biomass_pred,2016,4670.673296424851,2750.3302372119333,7931.843509836367,6267.297799,0.2868143010508738,3612.0381496769646,10874.475870323544
M22_2024,EBS Slope,biomass_pred,2017,4685.8045738132305,2640.3318261607105,8315.911010282438,NA,NA,NA,NA
M22_2024,EBS Slope,biomass_pred,2018,4696.608993044953,2563.9908382476688,8603.047914409133,NA,NA,NA,NA
M22_2024,EBS Slope,biomass_pred,2019,4707.438324855317,2489.6555658149323,8900.819810817118,NA,NA,NA,NA
M22_2024,EBS Slope,biomass_pred,2020,4706.39297743232,2501.907667501063,8853.298283444685,NA,NA,NA,NA
M22_2024,EBS Slope,biomass_pred,2021,4705.347862142206,2514.1780149290144,8806.177753643013,NA,NA,NA,NA
M22_2024,EBS Slope,biomass_pred,2022,4703.483421788287,2525.69497749461,8759.076807042684,NA,NA,NA,NA
M22_2024,EBS Slope,biomass_pred,2023,4701.619720197565,2537.1344726516736,8712.674961310773,NA,NA,NA,NA
M22_2024,EBS Slope,biomass_pred,2024,4701.619720197565,2530.745223124289,8734.671428545063,NA,NA,NA,NA
M22_2024,SBS,biomass_pred,1991,1925.8234138067623,650.9835954661055,5697.218558189357,1925.151322,0.6599948674588082,592.4145628013397,6256.104838262029
M22_2024,SBS,biomass_pred,1992,1926.8217110327093,446.17566834838806,8321.031758298555,NA,NA,NA,NA
M22_2024,SBS,biomass_pred,1993,1927.820525750212,443.09978991487577,8387.483054816626,NA,NA,NA,NA
M22_2024,SBS,biomass_pred,1994,1928.8198582275231,632.8810349128446,5878.428709757719,1959.081933,0.775942249192918,510.13784461127335,7523.460689593776
M22_2024,SBS,biomass_pred,1995,1895.8162155616951,424.4802912245593,8467.104827925452,NA,NA,NA,NA
M22_2024,SBS,biomass_pred,1996,1863.3772914850954,402.36492838599105,8629.417440407362,NA,NA,NA,NA
M22_2024,SBS,biomass_pred,1997,1831.4934232132791,522.8988866184645,6414.946072969984,2428.444677,0.971960023349896,491.0621440852841,12009.363010937835
M22_2024,SBS,biomass_pred,1998,1432.7356616332554,314.9357747434406,6517.936800885584,NA,NA,NA,NA
M22_2024,SBS,biomass_pred,1999,1120.7965314525957,258.59532417766883,4857.724589223828,NA,NA,NA,NA
M22_2024,SBS,biomass_pred,2000,876.7736425881756,301.71746650896574,2547.8538887124532,645.311775,0.7328336167959862,178.5209156602626,2332.652649766486
M22_2024,SBS,biomass_pred,2001,1006.7357546111232,279.38489731699326,3627.6723951276404,NA,NA,NA,NA
M22_2024,SBS,biomass_pred,2002,1155.9618473709993,440.9166545018676,3030.6131077924924,1463.216216,0.6527874185946024,455.167575836772,4703.765840151027
M22_2024,SBS,biomass_pred,2003,928.4651546589789,267.5330706261756,3222.209282008587,NA,NA,NA,NA
M22_2024,SBS,biomass_pred,2004,745.7404804288947,301.37224122316553,1845.3221235412534,630.318321,0.6031892112584849,211.54365861171334,1878.1049188408995
M22_2024,SBS,biomass_pred,2005,801.810526478224,235.93424610353537,2724.912262585068,NA,NA,NA,NA
M22_2024,SBS,biomass_pred,2006,862.0963153314914,351.0929457975213,2116.84702243135,1180.221976,0.5213305172055993,451.4352897929772,3085.545025228578
M22_2024,SBS,biomass_pred,2007,458.86232528362206,107.65919801909108,1955.7514586664038,NA,NA,NA,NA
M22_2024,SBS,biomass_pred,2008,244.2356263681869,45.47219710648451,1311.8134812745636,NA,NA,NA,NA
M22_2024,SBS,biomass_pred,2009,129.99768754296906,23.139452385363363,730.3283796469174,NA,NA,NA,NA
M22_2024,SBS,biomass_pred,2010,69.19301257484635,13.964383898949675,342.84885203871744,14.981977,1.0000000315679716,2.9302005130021196,76.60214167342427
M22_2024,SBS,biomass_pred,2011,120.8200748594417,30.713812745598624,475.274450943345,NA,NA,NA,NA
M22_2024,SBS,biomass_pred,2012,210.96769667675525,65.05733501283176,684.1253032008901,561.878956,0.7123365607947387,160.0813834088151,1972.1716196654572
M22_2024,SBS,biomass_pred,2013,101.95069952126015,28.024555361537093,370.88706667366677,NA,NA,NA,NA
M22_2024,SBS,biomass_pred,2014,49.26794621453288,16.741263595804917,144.99087899233322,28.147903,0.7073247565455597,8.077861309762,98.08344225221082
M22_2024,SBS,biomass_pred,2015,50.035855259558986,12.93728635402353,193.51715213267377,NA,NA,NA,NA
M22_2024,SBS,biomass_pred,2016,50.81573322853548,15.68342109506091,164.64767016725028,74.405686,0.999999998994745,14.552391026015389,380.43274807785804
M22_2024,SBS,biomass_pred,2017,38.382003805591474,9.021036105325955,163.30476886825502,NA,NA,NA,NA
M22_2024,SBS,biomass_pred,2018,28.990592529818645,7.229649298539051,116.25106841625272,13.31165,0.9999999951396734,2.603515232431141,68.06183559641863
M22_2024,SBS,biomass_pred,2019,40.07269453468213,7.676088720079107,209.1977966681701,NA,NA,NA,NA
