species_code,year,length,frequency,fmp_subarea,source
30576,2002,26,1,AI,AI fishery
30576,2002,27,1,AI,AI fishery
30576,2002,33,1,AI,AI fishery
30576,2002,33,1,AI,AI fishery
30576,2002,35,1,AI,AI fishery
30576,2002,37,1,AI,AI fishery
30576,2002,37,1,AI,AI fishery
30576,2002,37,1,AI,AI fishery
30576,2002,37,1,AI,AI fishery
30576,2002,38,1,AI,AI fishery
30576,2002,38,1,AI,AI fishery
30576,2002,38,1,AI,AI fishery
30576,2002,39,1,AI,AI fishery
30576,2002,39,1,AI,AI fishery
30576,2002,39,1,AI,AI fishery
30576,2002,40,1,AI,AI fishery
30576,2002,40,2,AI,AI fishery
30576,2002,40,1,EBS,EBS fishery
30576,2002,40,2,AI,AI fishery
30576,2002,41,1,AI,AI fishery
30576,2002,42,1,AI,AI fishery
30576,2002,42,1,AI,AI fishery
30576,2002,42,1,AI,AI fishery
30576,2002,42,1,EBS,EBS fishery
30576,2002,42,1,EBS,EBS fishery
30576,2002,42,1,AI,AI fishery
30576,2002,42,1,AI,AI fishery
30576,2002,42,1,AI,AI fishery
30576,2002,43,1,AI,AI fishery
30576,2002,43,1,EBS,EBS fishery
30576,2002,43,1,AI,AI fishery
30576,2002,43,1,AI,AI fishery
30576,2002,43,1,AI,AI fishery
30576,2002,43,1,AI,AI fishery
30576,2002,43,1,AI,AI fishery
30576,2002,43,2,AI,AI fishery
30576,2002,43,2,AI,AI fishery
30576,2002,43,1,AI,AI fishery
30576,2002,43,3,AI,AI fishery
30576,2002,43,1,AI,AI fishery
30576,2002,43,1,AI,AI fishery
30576,2002,43,1,AI,AI fishery
30576,2002,44,1,EBS,EBS fishery
30576,2002,44,1,AI,AI fishery
30576,2002,44,2,AI,AI fishery
30576,2002,44,1,AI,AI fishery
30576,2002,44,1,AI,AI fishery
30576,2002,44,1,AI,AI fishery
30576,2002,44,1,AI,AI fishery
30576,2002,44,1,AI,AI fishery
30576,2002,44,1,AI,AI fishery
30576,2002,44,1,AI,AI fishery
30576,2002,44,1,AI,AI fishery
30576,2002,44,1,AI,AI fishery
30576,2002,44,1,AI,AI fishery
30576,2002,45,1,AI,AI fishery
30576,2002,45,2,AI,AI fishery
30576,2002,45,1,AI,AI fishery
30576,2002,45,1,EBS,EBS fishery
30576,2002,45,1,AI,AI fishery
30576,2002,45,1,AI,AI fishery
30576,2002,45,1,AI,AI fishery
30576,2002,45,1,AI,AI fishery
30576,2002,45,1,AI,AI fishery
30576,2002,45,1,AI,AI fishery
30576,2002,45,1,AI,AI fishery
30576,2002,45,2,AI,AI fishery
30576,2002,46,1,AI,AI fishery
30576,2002,46,1,AI,AI fishery
30576,2002,46,1,AI,AI fishery
30576,2002,46,1,AI,AI fishery
30576,2002,46,2,EBS,EBS fishery
30576,2002,46,1,AI,AI fishery
30576,2002,46,2,AI,AI fishery
30576,2002,46,1,AI,AI fishery
30576,2002,47,1,AI,AI fishery
30576,2002,47,1,AI,AI fishery
30576,2002,47,1,AI,AI fishery
30576,2002,47,1,AI,AI fishery
30576,2002,47,1,AI,AI fishery
30576,2002,47,1,EBS,EBS fishery
30576,2002,47,1,AI,AI fishery
30576,2002,47,1,AI,AI fishery
30576,2002,47,1,AI,AI fishery
30576,2002,47,1,AI,AI fishery
30576,2002,47,1,AI,AI fishery
30576,2002,47,1,AI,AI fishery
30576,2002,48,2,AI,AI fishery
30576,2002,48,1,EBS,EBS fishery
30576,2002,48,1,EBS,EBS fishery
30576,2002,48,1,AI,AI fishery
30576,2002,48,1,AI,AI fishery
30576,2002,48,1,AI,AI fishery
30576,2002,48,1,AI,AI fishery
30576,2002,49,1,AI,AI fishery
30576,2002,49,1,AI,AI fishery
30576,2002,49,1,AI,AI fishery
30576,2002,49,1,AI,AI fishery
30576,2002,49,1,EBS,EBS fishery
30576,2002,49,1,EBS,EBS fishery
30576,2002,49,1,AI,AI fishery
30576,2002,49,1,AI,AI fishery
30576,2002,49,2,AI,AI fishery
30576,2002,49,1,AI,AI fishery
30576,2002,49,1,AI,AI fishery
30576,2002,50,1,AI,AI fishery
30576,2002,50,1,AI,AI fishery
30576,2002,50,1,AI,AI fishery
30576,2002,50,1,EBS,EBS fishery
30576,2002,50,1,EBS,EBS fishery
30576,2002,50,1,AI,AI fishery
30576,2002,50,1,AI,AI fishery
30576,2002,51,1,AI,AI fishery
30576,2002,51,1,AI,AI fishery
30576,2002,51,1,AI,AI fishery
30576,2002,51,1,AI,AI fishery
30576,2002,51,1,AI,AI fishery
30576,2002,51,1,AI,AI fishery
30576,2002,52,1,AI,AI fishery
30576,2002,52,1,EBS,EBS fishery
30576,2002,52,2,AI,AI fishery
30576,2002,52,1,AI,AI fishery
30576,2002,53,1,AI,AI fishery
30576,2002,53,1,AI,AI fishery
30576,2002,53,1,AI,AI fishery
30576,2002,53,2,EBS,EBS fishery
30576,2002,54,1,AI,AI fishery
30576,2002,54,1,EBS,EBS fishery
30576,2002,54,1,EBS,EBS fishery
30576,2002,54,1,AI,AI fishery
30576,2002,54,1,AI,AI fishery
30576,2002,55,1,AI,AI fishery
30576,2002,55,1,AI,AI fishery
30576,2002,55,1,AI,AI fishery
30576,2002,55,1,AI,AI fishery
30576,2002,55,1,EBS,EBS fishery
30576,2002,55,1,AI,AI fishery
30576,2002,55,3,AI,AI fishery
30576,2002,55,1,AI,AI fishery
30576,2002,56,1,AI,AI fishery
30576,2002,56,1,AI,AI fishery
30576,2002,56,1,EBS,EBS fishery
30576,2002,57,2,AI,AI fishery
30576,2002,57,1,AI,AI fishery
30576,2002,57,1,AI,AI fishery
30576,2002,57,1,AI,AI fishery
30576,2002,57,1,AI,AI fishery
30576,2002,57,1,EBS,EBS fishery
30576,2002,57,1,EBS,EBS fishery
30576,2002,57,1,AI,AI fishery
30576,2002,58,1,AI,AI fishery
30576,2002,58,1,EBS,EBS fishery
30576,2002,58,1,AI,AI fishery
30576,2002,59,1,AI,AI fishery
30576,2002,59,1,EBS,EBS fishery
30576,2002,60,1,AI,AI fishery
30576,2002,60,1,AI,AI fishery
30576,2002,60,1,AI,AI fishery
30576,2002,60,1,AI,AI fishery
30576,2002,60,1,AI,AI fishery
30576,2002,60,1,EBS,EBS fishery
30576,2002,60,1,AI,AI fishery
30576,2002,61,1,AI,AI fishery
30576,2002,61,1,AI,AI fishery
30576,2002,61,1,AI,AI fishery
30576,2002,61,1,AI,AI fishery
30576,2002,61,1,EBS,EBS fishery
30576,2002,61,1,EBS,EBS fishery
30576,2002,62,1,AI,AI fishery
30576,2002,62,1,AI,AI fishery
30576,2002,62,1,EBS,EBS fishery
30576,2002,62,1,EBS,EBS fishery
30576,2002,63,1,EBS,EBS fishery
30576,2002,63,1,AI,AI fishery
30576,2002,64,1,AI,AI fishery
30576,2002,64,1,AI,AI fishery
30576,2002,64,1,EBS,EBS fishery
30576,2002,65,1,AI,AI fishery
30576,2002,65,1,EBS,EBS fishery
30576,2002,65,2,EBS,EBS fishery
30576,2002,65,1,AI,AI fishery
30576,2002,67,1,EBS,EBS fishery
30576,2002,67,1,EBS,EBS fishery
30576,2002,68,1,EBS,EBS fishery
30576,2002,69,2,AI,AI fishery
30576,2002,69,1,AI,AI fishery
30576,2002,71,1,AI,AI fishery
30576,2002,71,1,EBS,EBS fishery
30576,2002,72,1,EBS,EBS fishery
30576,2002,73,1,EBS,EBS fishery
30576,2002,73,1,EBS,EBS fishery
30576,2002,73,2,EBS,EBS fishery
30576,2002,74,1,AI,AI fishery
30576,2002,74,2,EBS,EBS fishery
30576,2002,74,1,EBS,EBS fishery
30576,2002,75,1,AI,AI fishery
30576,2002,81,1,EBS,EBS fishery
30576,2002,81,1,EBS,EBS fishery
30576,2002,82,1,EBS,EBS fishery
30576,2002,82,1,EBS,EBS fishery
30576,2002,86,1,EBS,EBS fishery
30576,2002,92,1,EBS,EBS fishery
30576,2002,92,1,EBS,EBS fishery
30576,2002,103,1,EBS,EBS fishery
30576,2003,27,1,AI,AI fishery
30576,2003,29,1,AI,AI fishery
30576,2003,29,1,AI,AI fishery
30576,2003,29,1,AI,AI fishery
30576,2003,30,1,AI,AI fishery
30576,2003,31,1,AI,AI fishery
30576,2003,32,1,AI,AI fishery
30576,2003,33,1,AI,AI fishery
30576,2003,33,1,AI,AI fishery
30576,2003,33,1,AI,AI fishery
30576,2003,33,1,AI,AI fishery
30576,2003,33,1,AI,AI fishery
30576,2003,34,1,AI,AI fishery
30576,2003,34,1,AI,AI fishery
30576,2003,34,1,AI,AI fishery
30576,2003,34,1,AI,AI fishery
30576,2003,35,1,AI,AI fishery
30576,2003,35,2,AI,AI fishery
30576,2003,35,2,AI,AI fishery
30576,2003,35,1,AI,AI fishery
30576,2003,35,1,EBS,EBS fishery
30576,2003,35,1,AI,AI fishery
